image lefteye_x lefteye_y righteye_x righteye_y nose_x nose_y leftmouth_x leftmouth_y rightmouth_x rightmouth_y
162771.jpg 93 101 132 102 108 124 97 142 129 142 
162772.jpg 93 101 132 101 116 124 95 140 130 144 
162773.jpg 94 99 130 102 122 127 101 142 126 144 
162774.jpg 92 101 132 102 107 125 94 140 131 142 
162775.jpg 93 101 132 101 114 125 98 141 127 142 
162776.jpg 93 102 132 101 119 128 95 142 129 142 
162777.jpg 92 102 134 102 111 131 96 140 128 141 
162778.jpg 93 101 132 102 109 129 95 141 130 142 
162779.jpg 93 100 131 102 106 133 97 141 130 144 
162780.jpg 95 103 131 99 101 117 96 144 125 143 
162781.jpg 94 101 131 101 108 124 96 143 128 143 
162782.jpg 95 101 130 101 110 120 95 145 130 142 
162783.jpg 93 101 132 101 112 117 98 142 126 141 
162784.jpg 93 101 131 102 116 124 95 141 131 143 
162785.jpg 94 102 132 101 118 128 95 143 129 141 
162786.jpg 94 101 131 101 110 129 94 143 130 142 
162787.jpg 91 102 134 102 114 126 94 140 131 140 
162788.jpg 93 102 132 101 111 128 96 142 128 141 
162789.jpg 94 101 131 101 106 125 93 144 132 141 
162790.jpg 92 102 133 102 114 124 92 140 133 141 
162791.jpg 94 100 130 102 114 124 98 143 128 143 
162792.jpg 96 99 128 100 125 120 102 144 124 146 
162793.jpg 94 101 131 101 111 125 98 142 127 143 
162794.jpg 94 101 131 101 114 123 96 143 129 142 
162795.jpg 93 102 132 101 99 121 95 145 129 139 
162796.jpg 94 104 133 99 120 124 90 143 131 140 
162797.jpg 92 101 132 102 116 127 93 142 133 141 
162798.jpg 93 100 131 102 110 126 97 143 129 142 
162799.jpg 92 101 132 102 112 119 99 141 126 142 
162800.jpg 91 102 134 102 107 121 96 139 129 142 
162801.jpg 93 102 132 101 116 127 96 143 128 141 
162802.jpg 93 103 133 101 108 121 94 140 129 142 
162803.jpg 92 102 133 101 110 129 94 140 130 142 
162804.jpg 92 102 133 102 110 124 95 141 130 141 
162805.jpg 94 101 131 101 116 126 98 143 126 143 
162806.jpg 93 101 131 101 105 122 97 141 128 143 
162807.jpg 93 101 132 101 110 123 99 142 126 142 
162808.jpg 95 101 131 100 115 124 95 143 129 143 
162809.jpg 94 100 130 102 108 129 96 144 131 142 
162810.jpg 92 102 133 102 111 124 93 140 132 142 
162811.jpg 94 100 131 102 113 125 98 143 128 143 
162812.jpg 96 99 129 101 99 126 101 143 125 146 
162813.jpg 94 101 131 101 100 128 96 142 129 144 
162814.jpg 92 100 132 103 97 129 93 140 135 144 
162815.jpg 92 101 133 102 116 119 91 142 134 140 
162816.jpg 94 101 131 101 119 120 97 143 127 142 
162817.jpg 92 102 133 102 110 129 91 140 134 141 
162818.jpg 94 100 131 101 111 125 94 142 131 144 
162819.jpg 94 101 131 101 116 120 98 143 127 143 
162820.jpg 93 102 133 101 114 124 92 142 132 141 
162821.jpg 93 102 133 101 113 129 92 141 133 142 
162822.jpg 94 101 132 101 115 125 94 142 131 143 
162823.jpg 93 101 132 101 110 126 95 142 129 142 
162824.jpg 95 102 131 99 109 117 96 144 126 142 
162825.jpg 96 102 131 98 105 118 95 145 126 142 
162826.jpg 92 100 132 102 102 127 94 141 133 143 
162827.jpg 96 100 129 100 103 123 97 144 129 144 
162828.jpg 91 102 133 102 111 121 92 140 133 140 
162829.jpg 92 102 133 101 116 127 93 141 132 141 
162830.jpg 94 102 132 101 123 128 93 143 131 142 
162831.jpg 95 101 131 100 112 129 96 143 127 143 
162832.jpg 92 101 133 103 112 126 97 140 130 142 
162833.jpg 94 100 131 101 120 117 97 142 128 144 
162834.jpg 94 101 131 101 111 122 95 143 130 142 
162835.jpg 95 101 130 100 109 124 96 143 128 143 
162836.jpg 96 101 130 99 99 121 93 145 130 143 
162837.jpg 93 102 132 101 110 127 95 141 129 142 
162838.jpg 92 101 132 102 110 131 93 140 134 142 
162839.jpg 95 102 131 100 103 115 97 144 126 142 
162840.jpg 92 101 132 102 111 126 95 141 130 142 
162841.jpg 95 102 131 99 100 119 96 144 127 142 
162842.jpg 95 100 130 100 126 124 98 142 127 145 
162843.jpg 94 101 132 101 115 123 98 143 127 142 
162844.jpg 94 101 131 101 111 121 97 142 128 144 
162845.jpg 95 102 131 100 125 120 97 143 126 143 
162846.jpg 94 102 132 101 117 130 96 142 127 143 
162847.jpg 90 100 133 104 103 129 91 136 138 144 
162848.jpg 94 101 131 101 114 124 97 142 128 143 
162849.jpg 94 100 131 102 117 120 94 142 132 143 
162850.jpg 91 102 134 102 113 130 91 140 134 140 
162851.jpg 93 102 132 101 109 125 95 141 129 142 
162852.jpg 93 101 132 102 114 132 96 142 129 142 
162853.jpg 95 100 130 100 119 128 98 145 126 143 
162854.jpg 92 101 132 102 106 129 93 141 133 142 
162855.jpg 97 98 127 101 128 119 103 147 124 145 
162856.jpg 94 100 131 101 112 130 97 143 128 142 
162857.jpg 96 100 129 100 115 124 96 145 128 144 
162858.jpg 94 102 132 101 108 122 96 142 128 142 
162859.jpg 92 102 133 102 114 128 94 140 130 141 
162860.jpg 93 101 132 102 110 124 96 140 130 143 
162861.jpg 95 100 130 101 116 121 97 143 128 144 
162862.jpg 95 100 130 101 102 124 96 141 129 146 
162863.jpg 91 101 133 102 104 131 91 139 135 142 
162864.jpg 95 100 130 101 104 125 100 144 125 143 
162865.jpg 92 101 133 103 109 126 92 141 135 141 
162866.jpg 94 101 131 101 104 129 95 143 130 142 
162867.jpg 94 101 132 101 112 126 96 143 129 142 
162868.jpg 92 103 134 101 116 133 90 141 133 140 
162869.jpg 92 102 133 102 116 122 90 141 135 141 
162870.jpg 92 102 133 102 123 124 94 140 131 142 
162871.jpg 93 102 133 101 107 125 99 141 125 142 
162872.jpg 92 102 133 102 113 132 94 141 131 140 
162873.jpg 93 101 132 101 113 124 96 143 130 142 
162874.jpg 92 101 132 102 113 128 96 141 129 142 
162875.jpg 93 102 132 101 113 132 96 143 129 140 
162876.jpg 93 101 132 102 113 123 92 142 134 141 
162877.jpg 98 93 122 103 92 129 110 147 124 150 
162878.jpg 95 101 130 101 101 126 97 143 129 144 
162879.jpg 93 102 133 101 120 127 92 142 131 141 
162880.jpg 94 100 130 101 122 127 99 143 127 143 
162881.jpg 93 100 131 102 105 126 94 141 133 143 
162882.jpg 92 102 133 101 112 132 92 141 132 141 
162883.jpg 93 102 132 101 109 133 97 142 127 141 
162884.jpg 95 100 130 101 105 123 95 145 130 142 
162885.jpg 95 101 130 100 126 122 98 145 127 142 
162886.jpg 94 102 132 100 108 116 97 143 126 142 
162887.jpg 93 102 133 101 108 129 94 142 131 141 
162888.jpg 91 102 134 102 112 125 91 141 135 140 
162889.jpg 94 102 132 100 115 122 97 142 126 142 
162890.jpg 95 101 130 100 110 128 97 144 128 143 
162891.jpg 93 101 131 102 116 118 98 142 127 143 
162892.jpg 92 102 133 102 112 130 89 140 136 141 
162893.jpg 97 101 129 98 119 127 97 146 125 143 
162894.jpg 94 101 131 100 119 129 96 144 127 142 
162895.jpg 95 101 131 100 111 121 96 144 128 142 
162896.jpg 94 101 131 101 109 121 100 143 125 142 
162897.jpg 94 100 131 101 114 123 99 142 127 144 
162898.jpg 94 98 129 103 125 116 102 143 128 145 
162899.jpg 94 100 130 101 109 124 98 142 127 145 
162900.jpg 92 101 132 102 108 129 92 142 133 141 
162901.jpg 91 102 134 103 107 131 88 140 138 140 
162902.jpg 93 102 132 101 113 126 96 142 128 142 
162903.jpg 90 103 135 103 114 130 91 139 134 139 
162904.jpg 95 101 131 100 111 133 95 143 129 144 
162905.jpg 93 101 132 102 113 125 97 141 128 142 
162906.jpg 92 102 133 102 115 128 90 141 135 140 
162907.jpg 89 103 136 103 111 127 91 139 134 138 
162908.jpg 93 101 131 102 116 117 96 142 129 142 
162909.jpg 93 101 132 102 111 128 94 141 132 143 
162910.jpg 92 101 132 102 114 127 95 142 131 141 
162911.jpg 94 100 130 102 117 121 98 142 129 144 
162912.jpg 93 102 132 101 112 127 97 142 127 142 
162913.jpg 95 100 130 101 107 128 99 143 126 145 
162914.jpg 92 101 133 102 110 133 97 142 129 141 
162915.jpg 92 102 133 102 112 129 94 141 131 141 
162916.jpg 94 100 130 101 109 122 98 144 128 143 
162917.jpg 96 100 129 100 131 125 101 145 124 144 
162918.jpg 94 101 131 101 110 126 100 143 126 142 
162919.jpg 94 101 131 101 116 126 97 143 128 142 
162920.jpg 93 101 132 102 110 124 98 142 128 142 
162921.jpg 92 102 133 101 102 128 93 141 131 141 
162922.jpg 93 102 132 101 129 132 90 145 134 139 
162923.jpg 95 100 130 100 112 125 98 144 127 143 
162924.jpg 95 101 130 100 101 125 98 144 127 143 
162925.jpg 92 102 133 102 119 125 96 142 129 141 
162926.jpg 92 102 133 101 113 124 91 143 134 138 
162927.jpg 99 100 127 98 134 126 94 148 129 145 
162928.jpg 93 101 132 102 111 126 96 142 129 141 
162929.jpg 94 101 131 101 112 123 97 142 128 142 
162930.jpg 93 101 131 101 114 122 97 142 128 142 
162931.jpg 94 102 132 101 113 129 98 141 126 143 
162932.jpg 95 99 129 102 98 125 96 143 132 145 
162933.jpg 93 101 132 101 112 131 95 141 129 143 
162934.jpg 93 102 132 101 109 126 92 142 133 141 
162935.jpg 93 102 133 101 105 118 94 141 130 142 
162936.jpg 95 99 129 101 122 121 100 143 127 145 
162937.jpg 92 103 134 101 114 131 87 141 136 140 
162938.jpg 94 100 131 102 113 123 99 142 127 143 
162939.jpg 93 102 133 101 107 125 94 142 130 141 
162940.jpg 93 102 132 101 114 127 93 141 131 142 
162941.jpg 94 100 130 101 120 126 99 144 127 142 
162942.jpg 94 102 132 100 125 127 96 145 127 140 
162943.jpg 92 102 133 102 114 114 94 142 131 140 
162944.jpg 92 102 133 102 115 126 93 140 132 141 
162945.jpg 93 101 132 101 109 128 91 142 134 141 
162946.jpg 94 102 131 100 104 126 97 142 127 143 
162947.jpg 93 101 132 102 108 127 95 142 131 141 
162948.jpg 93 101 132 102 115 122 96 142 130 142 
162949.jpg 93 101 132 102 115 127 98 142 127 142 
162950.jpg 93 103 133 100 117 128 91 143 132 141 
162951.jpg 94 101 131 101 112 125 99 143 127 142 
162952.jpg 92 102 133 102 111 131 95 139 130 143 
162953.jpg 93 101 132 101 104 123 98 141 127 143 
162954.jpg 91 102 134 102 110 125 90 140 135 141 
162955.jpg 91 102 134 103 118 127 93 140 133 141 
162956.jpg 93 102 133 101 116 122 97 141 127 141 
162957.jpg 93 101 132 102 101 129 93 141 133 143 
162958.jpg 99 101 128 97 99 122 97 149 123 144 
162959.jpg 97 98 127 101 123 124 99 146 128 145 
162960.jpg 96 102 130 99 99 122 98 145 124 143 
162961.jpg 92 102 133 102 115 127 93 141 132 142 
162962.jpg 93 100 131 102 119 126 97 142 129 142 
